f,date,year,month,utc_time,sat_id
planet_2019-3-5_12-08-00_1025.tif,2019-03-05,2019,3,12-08-00,12-08-00
planet_2019-3-11_12-04-00_0f52.tif,2019-03-11,2019,3,12-04-00,12-04-00
planet_2019-3-19_09-52-00_0f44.tif,2019-03-19,2019,3,09-52-00,09-52-00
planet_2019-3-26_12-09-00_1039.tif,2019-03-26,2019,3,12-09-00,12-09-00
planet_2019-3-28_09-50-00_1048.tif,2019-03-28,2019,3,09-50-00,09-50-00
planet_2019-3-30_12-08-00_1005.tif,2019-03-30,2019,3,12-08-00,12-08-00
planet_2019-4-4_12-04-00_1038.tif,2019-04-04,2019,4,12-04-00,12-04-00
planet_2019-4-7_12-06-00_1002.tif,2019-04-07,2019,4,12-06-00,12-06-00
planet_2019-4-8_12-06-00_1038.tif,2019-04-08,2019,4,12-06-00,12-06-00
planet_2019-4-9_12-06-00_0f34.tif,2019-04-09,2019,4,12-06-00,12-06-00
planet_2019-4-10_12-07-00_1014.tif,2019-04-10,2019,4,12-07-00,12-07-00
planet_2019-4-10_12-07-00_1035.tif,2019-04-10,2019,4,12-07-00,12-07-00
planet_2019-4-11_09-47-00_1053.tif,2019-04-11,2019,4,09-47-00,09-47-00
planet_2019-4-25_12-05-00_1013.tif,2019-04-25,2019,4,12-05-00,12-05-00
planet_2019-5-15_09-43-00_104b.tif,2019-05-15,2019,5,09-43-00,09-43-00
planet_2019-5-17_09-44-00_0f46.tif,2019-05-17,2019,5,09-44-00,09-44-00
planet_2019-6-7_11-09-00_1065.tif,2019-06-07,2019,6,11-09-00,11-09-00
planet_2019-6-11_11-11-00_106f.tif,2019-06-11,2019,6,11-11-00,11-11-00
planet_2019-6-16_09-42-00_1052.tif,2019-06-16,2019,6,09-42-00,09-42-00
planet_2020-3-4_11-57-00_0e0f.tif,2020-03-04,2020,3,11-57-00,11-57-00
planet_2020-3-16_12-09-00_103c.tif,2020-03-16,2020,3,12-09-00,12-09-00
planet_2020-3-19_12-11-00_0f15.tif,2020-03-19,2020,3,12-11-00,12-11-00
planet_2020-3-23_11-59-00_0e19.tif,2020-03-23,2020,3,11-59-00,11-59-00
planet_2020-3-24_12-10-00_103c.tif,2020-03-24,2020,3,12-10-00,12-10-00
planet_2020-3-25_11-59-00_0e20.tif,2020-03-25,2020,3,11-59-00,11-59-00
planet_2020-3-26_09-00-00_104a.tif,2020-03-26,2020,3,09-00-00,09-00-00
planet_2020-3-27_09-00-00_0f21.tif,2020-03-27,2020,3,09-00-00,09-00-00
planet_2020-3-28_12-10-00_1009.tif,2020-03-28,2020,3,12-10-00,12-10-00
planet_2020-3-28_12-11-00_103c.tif,2020-03-28,2020,3,12-11-00,12-11-00
planet_2020-4-14_10-55-00_1067.tif,2020-04-14,2020,4,10-55-00,10-55-00
planet_2020-4-16_08-51-00_0f49.tif,2020-04-16,2020,4,08-51-00,08-51-00
planet_2020-4-17_12-08-00_100c.tif,2020-04-17,2020,4,12-08-00,12-08-00
planet_2020-4-18_08-55-00_1052.tif,2020-04-18,2020,4,08-55-00,08-55-00
planet_2020-5-3_08-48-00_0f2a.tif,2020-05-03,2020,5,08-48-00,08-48-00
planet_2020-5-19_12-09-00_1003.tif,2020-05-19,2020,5,12-09-00,12-09-00
planet_2020-5-24_10-46-00_1065.tif,2020-05-24,2020,5,10-46-00,10-46-00
planet_2020-5-30_12-08-00_1032.tif,2020-05-30,2020,5,12-08-00,12-08-00
planet_2021-2-15_12-14-00_101f.tif,2021-02-15,2021,2,12-14-00,12-14-00
planet_2021-2-18_12-12-00_0f15.tif,2021-02-18,2021,2,12-12-00,12-12-00
planet_2021-2-18_12-14-00_0f17.tif,2021-02-18,2021,2,12-14-00,12-14-00
planet_2021-2-28_11-54-00_2441.tif,2021-02-28,2021,2,11-54-00,11-54-00
planet_2021-3-3_12-42-00_227a.tif,2021-03-03,2021,3,12-42-00,12-42-00
planet_2021-3-5_12-57-00_1058.tif,2021-03-05,2021,3,12-57-00,12-57-00
planet_2021-3-16_12-33-00_2419.tif,2021-03-16,2021,3,12-33-00,12-33-00
planet_2021-3-18_12-08-00_1005.tif,2021-03-18,2021,3,12-08-00,12-08-00
planet_2021-3-22_11-42-00_2235.tif,2021-03-22,2021,3,11-42-00,11-42-00
planet_2021-3-22_12-36-00_2408.tif,2021-03-22,2021,3,12-36-00,12-36-00
planet_2021-3-25_12-15-00_1003.tif,2021-03-25,2021,3,12-15-00,12-15-00
planet_2021-3-27_12-15-00_101b.tif,2021-03-27,2021,3,12-15-00,12-15-00
planet_2021-3-30_12-26-00_105c.tif,2021-03-30,2021,3,12-26-00,12-26-00
planet_2021-4-2_11-48-00_2206.tif,2021-04-02,2021,4,11-48-00,11-48-00
planet_2021-4-9_12-10-00_1009.tif,2021-04-09,2021,4,12-10-00,12-10-00
planet_2021-4-10_12-13-00_100a.tif,2021-04-10,2021,4,12-13-00,12-13-00
planet_2021-4-12_11-42-00_245f.tif,2021-04-12,2021,4,11-42-00,11-42-00
planet_2021-4-13_12-34-00_2413.tif,2021-04-13,2021,4,12-34-00,12-34-00
planet_2021-4-14_11-49-00_2441.tif,2021-04-14,2021,4,11-49-00,11-49-00
planet_2021-4-16_11-47-00_2460.tif,2021-04-16,2021,4,11-47-00,11-47-00
planet_2021-4-23_12-08-00_1008.tif,2021-04-23,2021,4,12-08-00,12-08-00
planet_2021-4-27_11-45-00_2456.tif,2021-04-27,2021,4,11-45-00,11-45-00
planet_2021-5-12_10-35-00_1065.tif,2021-05-12,2021,5,10-35-00,10-35-00
planet_2021-5-12_12-07-00_103c.tif,2021-05-12,2021,5,12-07-00,12-07-00
planet_2021-5-27_12-32-00_2408.tif,2021-05-27,2021,5,12-32-00,12-32-00
planet_2021-5-31_12-11-00_1010.tif,2021-05-31,2021,5,12-11-00,12-11-00
planet_2021-6-24_12-10-00_1012.tif,2021-06-24,2021,6,12-10-00,12-10-00
planet_2021-6-24_12-12-00_1011.tif,2021-06-24,2021,6,12-12-00,12-12-00
planet_2022-2-27_11-36-00_2449.tif,2022-02-27,2022,2,11-36-00,11-36-00
planet_2022-2-27_12-03-00_1035.tif,2022-02-27,2022,2,12-03-00,12-03-00
planet_2022-3-5_11-44-00_242d.tif,2022-03-05,2022,3,11-44-00,11-44-00
planet_2022-3-8_12-11-00_105c.tif,2022-03-08,2022,3,12-11-00,12-11-00
planet_2022-3-12_12-11-00_247c.tif,2022-03-12,2022,3,12-11-00,12-11-00
planet_2022-3-15_12-07-00_1005.tif,2022-03-15,2022,3,12-07-00,12-07-00
planet_2022-3-18_11-39-00_245c.tif,2022-03-18,2022,3,11-39-00,11-39-00
planet_2022-3-18_11-42-00_241d.tif,2022-03-18,2022,3,11-42-00,11-42-00
planet_2022-4-10_11-38-00_2439.tif,2022-04-10,2022,4,11-38-00,11-38-00
planet_2022-4-21_12-14-00_2495.tif,2022-04-21,2022,4,12-14-00,12-14-00
planet_2022-4-23_12-21-00_2416.tif,2022-04-23,2022,4,12-21-00,12-21-00
planet_2022-4-30_12-26-00_2405.tif,2022-04-30,2022,4,12-26-00,12-26-00
planet_2022-5-28_12-10-00_2488.tif,2022-05-28,2022,5,12-10-00,12-10-00
planet_2022-5-31_11-45-00_2421.tif,2022-05-31,2022,5,11-45-00,11-45-00
planet_2022-5-31_12-05-00_24a5.tif,2022-05-31,2022,5,12-05-00,12-05-00
